mean,scale,id,sd,moransI,fractal
-1,15,571,0.0010961908082543,0.174425438946153,2.46017986133323
-0.5,15,572,0.000514478174773663,0.252171233061331,2.48735547089491
0,15,573,0.000414650871433194,0.260431984094716,2.54996805093328
0.5,15,574,0.00046031345187567,0.245748042127239,2.50410049768326
1,15,575,0.000377952092155201,0.241815766660832,2.52051522472713
1.5,15,576,0.000212361079258634,0.17880360461945,2.5135442915665
-2,20,577,0.0102437703647412,0.0194432809275361,2.95846136249946
-1.5,20,578,0.00134300112753162,0.0952404534365419,2.51976552753218
-1,20,579,0.000921527876118206,0.225629023188755,2.46254289851101
-0.5,20,580,0.000852396111743445,0.237356148991576,2.47119245675781
0,20,581,0.000670405381250203,0.230130166876502,2.52059003222732
0.5,20,582,0.000550008529118254,0.277587755608224,2.51687278814761
1,20,583,0.000372937518466452,0.284007267687315,2.52328176162666
1.5,20,584,0.000122269105288327,0.214294047029394,2.50157371042503
-2,25,585,0.00175383724718794,0.144508539828703,2.40840115233532
-1.5,25,586,0.00135326048944079,0.100540454962758,2.51380279485248
-1,25,587,0.00232176991921663,0.0641037421811951,2.43969206389307
-0.5,25,588,0.00106770275298391,0.199788028290854,2.52834647878037
0,25,589,0.000708698876577394,0.161018844226133,2.54547847296085
0.5,25,590,0.000279628201597844,0.190043643433376,2.52915600229433
1,25,591,0.000352801123106593,0.149337784419711,2.4803070895504
1.5,25,592,0.000161526188591227,0.240628163967925,2.48245457644278
-2,50,593,0.00292556644077186,0.119846075394843,2.76921900850878
-1.5,50,594,0.00178692094575281,0.084314913995664,2.65406745181788
-1,50,595,0.00309393321385313,0.0500212984325474,2.70479715746302
-0.5,50,596,0.00139851058515295,0.151322376443696,2.46193843510216
0,50,597,0.00144957207887387,0.135169141207544,2.57169412421894
0.5,50,598,0.000274875828824875,0.189271769355913,2.51008014592864
1,50,599,0.000320801197739267,0.309303420602276,2.45264082221796
1.5,50,600,0.000111703911939567,0.189019695524241,2.5216229606143
-2,0.5,601,0.00340570516453927,0.0014272327445126,2.9689341791886
-1.5,0.5,602,0.00221635478876,0.00105493366194699,2.91734599375553
-1,0.5,603,0.00124977129562794,0.00280298061635199,2.91316187192886
-0.5,0.5,604,0.000885948534360762,0.00151828612651598,2.92216002190373
0,0.5,605,0.000620565530061772,0.00437544649674356,2.91267866898659
